	
WORD	POS
eliio 	DET
ekholo 	NN
ekiindi 	
yakhaba 	V
ne 	CONJ
eli 	V
rira 	
mu 	ADP
mulilo 	NN
khu 	ADP
sikulu 	NN
sia 	ADP
Sinai	NN
, 	PUNCT
se 	
eye 	
kamaani 	NN
kamakali 	ADJ
eli 	V
ne 	CONJ
wele 	NN
ooli 	PRON
mwabonakho 	V
efwaani 	V
yosi 	PRON
yosi 	PRON
tawe	ADV
. 	PUNCT
siimbi 	ADV
ne 	CONJ
nayo	PRON
, 	PUNCT
nga 	CONJ
Wele 	NN
Omunyali 	ADJ
Owa 	ADP
Khwako 	DET
ba 	
barekerefu	ADJ
. 	PUNCT
16	NUM
Mukhakhola 	V
Bioosi	ADJ
, 	PUNCT
Wele 	NN
wefwe 	PRON
ne 	CONJ
ali 	V
nafwe 	PRON
tawe	ADV
. 	PUNCT
murio 	DET
mwakhola 	V
bubwoni 	NN
khulwe 	CONJ
khu 	ADP
Buli 	DET
lwosi 	ADJ
ne 	CONJ
khwenya 	V
buyeeti 	V
khumusaba	V
- 	
khwikholela 	V
bifwaani 	NN
bie 	PRON
sisiindu 	NN
siosi 	ADJ
ba	
, 	PUNCT
Wele 	NN
Omunyali 	ADJ
Owa 	ADP
Bioosi 	DET
abechanga 	V
siosi 	DET
siakhaba 	
sio 	PRON
omundu 	NN
owe 	ADP
siseecha 	NN
siimbi 	ADV
ne 	CONJ
nafwe	PRON
. 	PUNCT
8	NUM
Se 	
eliio 	V
ekholo 	NN
ekiindi 	PRON
namwe 	CONJ
owe 	PRON
siikhasi 	NN
tawe	ADV
. 	PUNCT
17	NUM
Mukhekho 	
yakhaba 	CONJ
ne 	CONJ
eli 	V
eye 	ADP
kamaani 	NN
lukali	ADJ
, 	PUNCT
eeli 	V
lelakho 	V
sifwaani 	NN
sie 	PRON
esaang'i 	NN
namwe 	CONJ
ne 	CONJ
kamalaka 	NN
kaali 	DET
busa 	CONJ
nga 	CONJ
niko 	DET
ese 	PRON
enyuni	NN
, 	PUNCT
18	NUM
namwe 	CONJ
sie 	ADP
sisiindu 	NN
siosi 	DET
siosi 	DET
mwekeesie 	V
enywe 	PRON
endaalo 	NN
yino 	DET
tawe	ADV
. 	PUNCT
simoola 	V
namwe 	CONJ
eng'eeni 	NN
tawe	ADV
. 	PUNCT
19	NUM
Mukha 	ADV
'	PUNCT
Ba 	
Barekerefu	ADJ
nio 	DET
mulekhe 	V
khukhwibi	V
- 	
khola 	V
murio 	DET
mwasaaya 	V
bie 	ADP
mu 	ADP
ngaaki 	ADV
lila 	
niko 	DET
mwabona 	V
ne 	CONJ
chimoni 	NN
chenywe	PRON
. 	PUNCT
nga 	CONJ
enyanga 	NN
namwe 	CONJ
kumwesi 	NN
namwe 	CONJ
Boolela 	V
babaana 	NN
benywe 	PRON
ne 	CONJ
babechukhulu	NN
- 	
ching'enieesi 	NN
namwe 	CONJ
sisiindu 	NN
siosi 	PRON
siosi 	PRON
khulu 	
benywe	PRON
. 	PUNCT
10	NUM
Khebulila 	V
endaalo 	NN
niyo 	DET
sie 	ADP
mu 	ADP
ngaaki 	ADV
tawe	ADV
. 	PUNCT
Ebio 	DET
bili 	V
bibiindu 	NN
mwemela 	V
ebweeni 	ADV
wa 	ADP
Wele 	NN
Omunyali 	ADJ
nibio 	V
Wele 	NN
Omunyali 	ADJ
Owa 	ADP
Bioosi	DET
, 	PUNCT
Wele 	NN
Owa 	ADP
Bioosi	DET
,	PUNCT
Wele 	NN
wenywe 	PRON
a 	
sikulu 	NN
sia 	ADP
wenywe 	PRON
aelesia 	V
babaandu 	NN
babaandi 	PRON
boosi 	DET
Sinai	NN
. 	PUNCT
Wele 	NN
Omunyali 	ADJ
Owa 	ADP
Bioosi 	DET
Amboo	
- 	
buli 	ADJ
abuundu 	ADV
khu 	ADP
sibala 	NN
khubisaaya	V
lelamo 	
ali	V
Buusia 	V
babaandu 	NN
alala	ADV
Nenya 	V
Ne 	CONJ
kakhali 	CONJ
enywe 	PRON
Wele 	NN
Omunyali 	ADJ
baulile 	V
nilio 	DET
nenya 	V
khuloma	V
. 	PUNCT
Nio 	DET
beyike 	V
Owa 	ADP
Bioosi 	DET
aamubukula 	V
amurusia 	V
khu 	ADP
khuuba 	V
ne 	CONJ
liiria 	NN
khwise	PRON
. 	PUNCT
Biise 	NN
bioosi 	DET
nibio 	PRON
khwama 	ADP
mu 	ADP
Misiri	NN
, 	PUNCT
sibala 	NN
sisiaba 	V
nga 	CONJ
balimenyela 	V
mu 	ADP
sibala 	NN
baliekisia 	V
babaana 	NN
sisiooso 	NN
khwinywe 	PRON
nio 	DET
mube 	V
babaa 	
babwe 	PRON
khuuba 	V
ne 	CONJ
liiria 	NN
khwise	PRON
. 	PUNCT
withindu 	
be 	
kumukabwa 	NN
kwewe 	PRON
nga 	CONJ
ne 	CONJ
muli 	V
11	NU
""""	PUNCT
Boolela 	V
babaana 	NN
benywe 	PRON
nga 	CONJ
mwa	ADP
- 	
Luno	ADV
. 	PUNCT
21	NUM
Khutasa 	DET
Khwako	
, 	PUNCT
Wele 	NN
Omunyali 	ADJ
cha 	V
mwema 	V
mu 	ADP
maayo 	
mwe 	ADP
sikulu 	NN
Owa 	ADP
Bioosi 	DET
ambambila 	V
ese 	PRON
lirima 	NN
sikila 	CONJ
sisiaba 	V
ne 	CONJ
sifuniikhwe 	V
ne 	CONJ
lifuumbi 	NN
lisi	
- 	
Enywe	PRON
, 	PUNCT
nio 	DET
echuba 	V
ali 	ADV
ese 	PRON
se 	
nambukha 	V
ro 	
